"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000303.12",2839.69081574507,5.84571746042467,0.143553423225091,40.7215469272274,0,0
"ENSMUSG00000025608.9",4428.05135380476,8.30388270329225,0.196952344374236,42.1618880936688,0,0
"ENSMUSG00000045545.8",4120.18911473519,9.13600132760376,0.238911592367727,38.2400922327027,0,0
"ENSMUSG00000047586.3",2418.4559624557,7.42903655234794,0.196810619407857,37.7471326227194,0,0
"ENSMUSG00000054889.9",6938.0547265303,4.65213124386066,0.114234851467744,40.7242727073907,0,0
"ENSMUSG00000097767.8",4126.97152462526,6.58532676127591,0.150160645163118,43.8552108917909,0,0
"ENSMUSG00000030693.10",1287.89621275639,5.43704264144196,0.145887386028621,37.2687645549785,5.2635039463759e-304,1.5297998255574e-300
"ENSMUSG00000053797.10",2381.01805418132,7.99377639882145,0.216847874050746,36.8635221065195,1.77605246702194e-297,4.51672343019516e-294
"ENSMUSG00000037820.15",3960.48082663893,4.03289038601932,0.110268488222565,36.5733715137127,7.58234352595604e-293,1.71403087817306e-289
"ENSMUSG00000024406.16",2314.28186606349,4.4785773354186,0.12318204292203,36.3573880508977,2.00835316512278e-289,4.08599451444229e-286
"ENSMUSG00000020758.15",5757.53782141362,4.25846143832264,0.118392010509914,35.9691622769261,2.53968257850626e-283,4.69725836906452e-280
"ENSMUSG00000056602.11",1190.94818582297,5.37280704182691,0.152132494913935,35.3166300524186,3.26286548288862e-273,5.53191652078075e-270
"ENSMUSG00000047281.3",1064.71242291446,5.26009418283726,0.149548382572339,35.1731933997539,5.13926955257259e-271,8.0429568497761e-268
"ENSMUSG00000027375.14",3851.75829013198,5.75430903438916,0.166010946770097,34.6622264756921,2.92307127455992e-263,4.24784893435153e-260
"ENSMUSG00000026413.12",1675.85103857312,5.513222785256,0.162324747091077,33.9641544746263,7.53962080997541e-253,1.02262390252633e-249
"ENSMUSG00000031995.9",1282.55204364683,6.00933986413133,0.179540973682898,33.4705763306426,1.2920874549899e-245,1.64296995448559e-242
"ENSMUSG00000019102.10",4333.75112201742,3.76033121795793,0.117603928869806,31.974537365336,2.46411815618727e-224,2.94896964044882e-221
